"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Population
	"West Virginia"	"54"	"40-44 years"	"40-44"	107530
	"West Virginia"	"54"	"45-49 years"	"45-49"	116488
	"West Virginia"	"54"	"50-54 years"	"50-54"	117965
	"West Virginia"	"54"	"55-59 years"	"55-59"	127758
	"West Virginia"	"54"	"60-64 years "	"60-64"	130612
	"West Virginia"	"54"	"65-69 years"	"65-69"	119700
	"West Virginia"	"54"	"70-74 years"	"70-74"	93137
	"West Virginia"	"54"	"75-79 years"	"75-79"	64373
	"West Virginia"	"54"	"80-84 years"	"80-84"	42768
	"West Virginia"	"54"	"85+ years"	"85+"	39900
"Total"	"West Virginia"	"54"			1805832
	"Wisconsin"	"55"	"< 1 year"	"1"	64588
	"Wisconsin"	"55"	"1-4 years"	"1-4"	269794
	"Wisconsin"	"55"	"5-9 years"	"5-9"	349799
	"Wisconsin"	"55"	"10-14 years"	"10-14"	369348
	"Wisconsin"	"55"	"15-19 years"	"15-19"	378418
	"Wisconsin"	"55"	"20-24 years"	"20-24"	395921
	"Wisconsin"	"55"	"25-29 years"	"25-29"	374435
	"Wisconsin"	"55"	"30-34 years"	"30-34"	362942
	"Wisconsin"	"55"	"35-39 years"	"35-39"	371797
	"Wisconsin"	"55"	"40-44 years"	"40-44"	332919
	"Wisconsin"	"55"	"45-49 years"	"45-49"	352344
	"Wisconsin"	"55"	"50-54 years"	"50-54"	385213
	"Wisconsin"	"55"	"55-59 years"	"55-59"	425757
	"Wisconsin"	"55"	"60-64 years "	"60-64"	394820
	"Wisconsin"	"55"	"65-69 years"	"65-69"	329181
	"Wisconsin"	"55"	"70-74 years"	"70-74"	242442
	"Wisconsin"	"55"	"75-79 years"	"75-79"	169120
	"Wisconsin"	"55"	"80-84 years"	"80-84"	116094
	"Wisconsin"	"55"	"85+ years"	"85+"	128636
"Total"	"Wisconsin"	"55"			5813568
	"Wyoming"	"56"	"< 1 year"	"1"	6823
	"Wyoming"	"56"	"1-4 years"	"1-4"	29089
	"Wyoming"	"56"	"5-9 years"	"5-9"	37847
	"Wyoming"	"56"	"10-14 years"	"10-14"	39104
	"Wyoming"	"56"	"15-19 years"	"15-19"	36313
	"Wyoming"	"56"	"20-24 years"	"20-24"	37966
	"Wyoming"	"56"	"25-29 years"	"25-29"	38879
	"Wyoming"	"56"	"30-34 years"	"30-34"	38899
	"Wyoming"	"56"	"35-39 years"	"35-39"	39158
	"Wyoming"	"56"	"40-44 years"	"40-44"	33555
	"Wyoming"	"56"	"45-49 years"	"45-49"	32540
	"Wyoming"	"56"	"50-54 years"	"50-54"	32340
	"Wyoming"	"56"	"55-59 years"	"55-59"	39394
	"Wyoming"	"56"	"60-64 years "	"60-64"	40455
	"Wyoming"	"56"	"65-69 years"	"65-69"	33583
	"Wyoming"	"56"	"70-74 years"	"70-74"	24585
	"Wyoming"	"56"	"75-79 years"	"75-79"	16203
	"Wyoming"	"56"	"80-84 years"	"80-84"	10323
	"Wyoming"	"56"	"85+ years"	"85+"	10681
"Total"	"Wyoming"	"56"			577737
"Total"					327167434
"---"
"Dataset: Bridged-Race Population Estimates 1990-2018"
"Query Parameters:"
"Age Group: < 1 year; 1-4 years; 5-9 years; 10-14 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44"
"years; 45-49 years; 50-54 years; 55-59 years; 60-64 years ; 65-69 years; 70-74 years; 75-79 years; 80-84 years; 85+ years"
"Ethnicity: Hispanic or Latino; Not Hispanic or Latino"
"Race: American Indian or Alaska Native; Asian or Pacific Islander; Black or African American; White"
"Yearly July 1st Estimates: 2018"
"Group By: State; Age Group"
"Show Totals: True"
"Show Zero Values: False"
"Data Table: Default"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/bridged-race.html for more information."
"---"
"Query Date: Jul 22, 2020 12:03:08 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Bridged-Race Population Estimates, United States July 1st resident"
"population by state, county, age, sex, bridged-race, and Hispanic origin. Compiled from 1990-1999 bridged-race intercensal"
"population estimates (released by NCHS on 7/26/2004); revised bridged-race 2000-2009 intercensal population estimates (released"
"by NCHS on 10/26/2012); and bridged-race Vintage 2018 (2010-2018) postcensal population estimates (released by NCHS on"
"6/25/2019). Available on CDC WONDER Online Database. Accessed at http://wonder.cdc.gov/bridged-race-v2018.html on Jul 22, 2020"
"12:03:08 PM"
"---"
Footnotes:
"1. Estimates for 1990-1999 are bridged-race intercensal population estimates of the July 1 resident population. Estimates for"
"2000-2009 are revised bridged-race intercensal estimates of the July 1 resident population. Estimates for 2010-2018 are"
"bridged-race Vintage 2018 postcensal estimates of the July 1 resident population. These estimates were prepared by the Census"
"Bureau in collaboration with NCHS."
"---"
Caveats:
